views,likes,disklikes,titles
1980,56,2,Keynote: Professor Steven G. Johnson
1600,34,2,Keynote: Professor Heather Miller
1622,52,0,Multi-threading in Julia with PARTR
913,22,1,Julia User and Developer Survey (2019)
1419,53,0,The Unreasonable Effectiveness of Multiple Dispatch
663,10,0,Keynote: Dr. Ted Rieger
1469,33,5,Keynote: Professor Madeleine Udell
3064,78,2,What's Bad About Julia
710,15,2,Keynote: Arch D. Robison
1161,33,2,Opening Remarks
1093,29,0,Debugging Code with JuliaInterpreter
1264,40,0,Differentiate All The Things!
467,11,0,Julia's Killer App(s): Implementing State Machines Simply using Multiple Dispatch
1199,52,0,Scientific AI: Domain Models with Integrated Machine Learning
1177,22,0,PackageCompiler
858,21,2,A Showcase for Makie
831,31,0,MLJ - Machine Learning in Julia
676,26,0,Intelligent Tensors in Julia
1071,44,0,How We Wrote a Textbook using Julia
538,30,0,Mining Imbalanced Big Data with Julia
558,19,1,Differentiable Rendering and its Applications in Deep Learning
650,18,0,Cleaning Messy Data with Julia and Gen
574,9,1,"Pkg, Project.toml, Manifest.toml and Environments"
807,15,5,Writing Maintainable Julia Code
637,17,0,Gen: A General-Purpose Probabilistic Programming System
464,15,0,Prototyping Visualizations for the Web with Vega and Julia
435,14,0,High-Performance Portfolio Risk Aggregation
494,7,1,Pyodide: The Scientific Python Stack Compiled to WebAssembly
466,6,3,Formatting Julia
601,14,0,A Probabilistic Programming Language for Switching Kalman Filters
460,14,0,Why writing C interfaces in Julia is so easy
440,10,1,TSML (Time Series Machine Learning)
618,20,0,Turing: Probabalistic Programming in Julia
454,12,0,Fitting Neural Ordinary Differential Equations with DiffeqFlux.jl
618,17,0,Symbolic Manipulation in Julia
447,15,0,Neural Ordinary Differential Equations with DiffEqFlux
360,8,0,A New Breed of Vehicle Simulation
434,16,1,XLA.jl: Julia on TPUs
371,9,0,State of the Data: JuliaData
391,15,0,Porting a Massively Parallel Multi-GPU Application to Julia
321,7,1,Polynomial and Moment Optimization in Julia and JuMP
326,3,1,LightQuery.jl
308,12,0,Sponsor Address: Intel
411,16,0,Interval methods for scientific computing in Julia
467,9,1,Geometric algebra in Julia with Grassmann.jl
348,12,0,SemanticModels.jl: Not Just Another Modeling Framework
352,11,0,Queryverse - Under the Hood
291,7,0,Sponsor Address: J P Morgan Chase & Co.
294,10,0,Smart House with JuliaBerry
293,13,12,Raising Diversity & Inclusion among Julia users
408,13,1,Julia + JavaScript = ❤️
338,11,1,Modia3D: Modeling and Simulation of 3D-Systems in Julia
327,7,0,Re-designing Optim
305,18,0,Using Julia in Secure Environments
289,5,0,Ultimate Datetime
277,6,1,Modeling in Julia at Exascale for Power Grids
